name	address	gender	rating	Service_1	Price_1	Service_2	Price_2	Service_3	Price_3	Service_4	Price_4	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
The Hideaway	"403 Jumeirah Beach Rd, Al Athar Street, La Plage, Dubai"	Women only	5	Glow On The Go Facial	AED 320	Hair Consultation	AED 0	Balayage	From AED 770	Trim	From AED 81	Closed	9:00?am - 7:00?pm	9:00?am - 7:00?pm	9:00?am - 7:00?pm	9:00?am - 8:00?pm	9:00?am - 8:00?pm	9:00?am - 7:00?pm
Curve Beauty Salon	"Al Sahab Tower 1, Dubai Dubai Marina"	Women only	5	GLAMGLOW Express Facial	AED 150	Curve Classic Manicure	AED 80	Cut and File	AED 30	Curve Pedi Therapy by Footlogix	AED 120	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
Mood Ladies Salon	"North Podium Tower 2, Dubai Creek Harbour Residences, Dubai"	Women only	4.8	DERMALOGICA ANTI AGEING FACIAL TREATMENT	AED 550	ADD ON NAIL TREATMENT AFTER SOAK OFF GEL FOR NAIL STRENGTH	AED 20	Polish Change & Shape Classic | for Hands	AED 47	SOFT GEL NAIL EXTENSIONS	AED 280	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Soho Vintage Barbers | Sheikh Zayed Road	"Duja Tower - Trade Centre 1, Dubai Shop 2"	Men only	4.9	Free Consultation	Free	Manicure	AED 90	Free Consultation	Free	Hand Massage	From AED 80	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am
Ward Salon	"Mirdif, Dubai Mirdif"	Men only	4.9	Beard Line/Shaving	AED 40	Hand&Foot Moisturizing Treatment	AED 25	Haircut	AED 40	Facial	AED 100	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Peaky Blinders	"Mag 218 Tower, Al Khayay St, Dubai Marina, Dubai"	N/A	4.9	Hand Massage	AED 65	Hair Spa Treatment	AED 195	"Skin Fade, Fade Beard, Nose Wax, Mani & Pedi, Full Facial"	AED 730	Highlights / Crazy Color	From AED 420	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm
Julian's Barbershop	"Shop No.3, Arenco Tower, Media City, Dubai"	Men only	5	Brazilian Blowout Keratin Treatment	AED 500	VIP Haircut and Beard trim	AED 600	Haircut and Beard trim with Royal Elixir Facial	AED 575	Classic Haircut	AED 155	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 7:00?pm	10:00?am - 7:00?pm
Chaps & Co - Reform at the Lakes	"Reform at the Lakes, Dubai The Lakes"	N/A	4.9	Classic Haircut	From AED 135	Ear Waxing	AED 30	Thinning Hair Treatment	AED 95	Highlights	From AED 425	9:00?am - 8:00?pm	9:00?am - 8:00?pm	9:00?am - 8:00?pm	9:00?am - 8:00?pm	9:00?am - 8:00?pm	10:00?am - 8:00?pm	9:00?am - 8:00?pm
Casa Aire Wellness	"Marina Terrace Tower, near Grosvenor House Hotel, Al Emreef Street, P2- Retail Section, Dubai Dubai Marina"	Women only	4.9	Skintellectual Centre - Consult	AED 250	Korean Fractional Laser Resurfacing Glow	"From AED 1,550"	The Aire Refresh	AED 350	The Sea Facial - For One	AED 800	9:00?am - 10:00?pm	3:00?pm - 10:00?pm	3:00?pm - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
Paparazzi Men’s Salon	"BurJuman Mall, Level 2, Bur Dubai, Dubai"	N/A	4.9	Advance Hair Treatment (Nashi filler therapy)	AED 179	Manzilian Wax	AED 99	Eye Treatment	AED 149	Mini Tatoo	AED 79	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 10:00?pm
